"Points:0","Points:1","Points:2"
4.0385e+06,2.47e+05,0
4.0634e+06,2.4853e+05,0
4.0884e+06,2.5005e+05,0
4.1133e+06,2.5158e+05,0
4.1383e+06,2.5311e+05,0
4.1632e+06,2.5463e+05,0
4.1882e+06,2.5616e+05,0
4.2131e+06,2.5769e+05,0
4.2381e+06,2.5921e+05,0
4.263e+06,2.6074e+05,0
4.288e+06,2.6226e+05,0
4.3129e+06,2.6379e+05,0
4.3379e+06,2.6532e+05,0
4.3628e+06,2.6684e+05,0
4.3878e+06,2.6837e+05,0
4.4128e+06,2.699e+05,0
4.4377e+06,2.7142e+05,0
4.4627e+06,2.7295e+05,0
4.4876e+06,2.7447e+05,0
4.5126e+06,2.76e+05,0
4.5375e+06,2.7753e+05,0
4.5625e+06,2.7905e+05,0
4.5874e+06,2.8058e+05,0
4.6124e+06,2.8211e+05,0
4.6373e+06,2.8363e+05,0
4.6623e+06,2.8516e+05,0
4.6872e+06,2.8668e+05,0
4.7122e+06,2.8821e+05,0
4.7371e+06,2.8974e+05,0
4.7621e+06,2.9126e+05,0
4.7871e+06,2.9279e+05,0
4.812e+06,2.9432e+05,0
4.837e+06,2.9584e+05,0
4.8619e+06,2.9737e+05,0
4.8869e+06,2.9889e+05,0
4.9118e+06,3.0042e+05,0
4.9368e+06,3.0195e+05,0
4.9617e+06,3.0347e+05,0
4.9867e+06,3.05e+05,0
5.0116e+06,3.0652e+05,0
5.0366e+06,3.0805e+05,0
5.0615e+06,3.0958e+05,0
